age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
56,unknown,married,primary,no,1790,yes,yes,unknown,14,nov,1,8,175,19,other,no
35,admin.,married,unknown,no,-1899,yes,no,cellular,26,mar,1736,39,38,4,success,no
21,services,divorced,secondary,no,37708,yes,no,cellular,17,jul,2502,32,137,1,failure,no
77,management,single,unknown,no,78412,no,yes,cellular,14,apr,658,6,130,16,other,no
31,technician,divorced,unknown,no,26254,yes,no,telephone,20,may,1802,38,380,10,failure,no
26,student,single,primary,no,25337,yes,no,unknown,17,may,2346,34,161,18,success,yes
70,blue-collar,divorced,tertiary,no,74536,no,no,cellular,27,aug,1020,1,314,14,unknown,no
19,unknown,single,secondary,no,78315,yes,no,cellular,20,apr,2756,33,201,5,success,no
77,management,married,tertiary,no,49225,no,no,unknown,1,jun,397,22,14,5,failure,no
88,admin.,married,secondary,no,16238,no,yes,cellular,4,jun,1875,22,228,13,success,no
61,services,single,primary,no,3966,yes,no,telephone,25,nov,2182,26,159,0,unknown,no
25,unemployed,married,tertiary,no,41253,yes,no,unknown,7,aug,949,1,181,2,unknown,no
64,services,divorced,secondary,no,26331,no,no,unknown,10,jun,62,13,101,6,failure,no
52,blue-collar,divorced,tertiary,no,58707,yes,no,unknown,25,feb,335,7,132,2,success,no
53,self-employed,divorced,secondary,no,21912,no,no,telephone,3,jun,2857,40,365,13,failure,no
67,blue-collar,single,tertiary,no,46966,yes,yes,cellular,6,aug,2939,25,210,9,failure,no
21,admin.,single,primary,no,32786,no,yes,cellular,17,apr,432,4,170,10,other,no
19,technician,divorced,tertiary,no,65790,yes,yes,unknown,6,sep,1760,30,302,0,other,yes
23,unknown,single,unknown,no,6317,yes,yes,cellular,24,jun,1830,15,193,18,unknown,no
71,self-employed,divorced,unknown,no,70546,no,no,unknown,4,jul,889,26,77,0,failure,no
21,student,married,tertiary,no,28257,yes,no,unknown,5,sep,1040,45,274,4,unknown,yes
71,self-employed,married,secondary,no,50742,no,no,cellular,25,oct,2528,21,265,0,success,no
80,blue-collar,married,tertiary,no,16552,yes,no,cellular,16,apr,2013,30,70,5,unknown,no
35,technician,divorced,primary,no,75526,no,no,cellular,21,feb,2961,31,394,17,success,no
61,technician,single,tertiary,no,-3455,yes,no,telephone,17,apr,967,25,131,8,unknown,no
51,management,divorced,secondary,no,24959,no,no,cellular,23,jul,409,6,303,13,other,no
91,student,divorced,tertiary,no,19148,no,no,telephone,7,oct,179,43,161,13,unknown,no
79,entrepreneur,divorced,unknown,no,48374,yes,no,cellular,16,jun,82,3,360,14,unknown,no
31,blue-collar,married,primary,no,45545,no,yes,telephone,20,may,499,22,205,2,other,no
65,entrepreneur,married,tertiary,no,9531,no,no,unknown,11,dec,2037,33,125,4,other,no
32,management,married,secondary,no,77334,yes,no,unknown,28,jul,1900,10,212,16,failure,no
89,self-employed,divorced,tertiary,no,63390,no,no,unknown,27,jun,2568,38,137,10,unknown,no
79,services,single,primary,no,7398,no,no,cellular,27,may,943,26,7,2,success,no
57,unemployed,single,unknown,no,1857,no,no,telephone,3,mar,1741,38,82,0,success,yes
70,unemployed,single,unknown,no,64968,no,no,cellular,15,sep,2650,31,396,6,failure,no
41,technician,single,unknown,no,46536,no,no,unknown,22,nov,2222,8,219,16,other,no
43,admin.,single,tertiary,no,26888,yes,no,cellular,29,aug,1169,13,368,4,other,yes
77,self-employed,single,secondary,no,70389,no,no,cellular,1,mar,1913,16,334,8,failure,no
58,entrepreneur,divorced,primary,no,76225,no,yes,telephone,25,oct,2010,49,59,13,unknown,no
46,services,married,tertiary,no,7126,no,no,cellular,12,mar,1051,15,318,16,other,no
32,blue-collar,single,primary,no,76638,no,no,cellular,14,oct,220,4,253,1,unknown,no
62,unemployed,married,secondary,no,76270,no,no,telephone,3,jul,269,30,211,6,failure,no
82,entrepreneur,divorced,unknown,no,49479,no,no,telephone,20,aug,1591,25,157,7,failure,no
88,blue-collar,single,primary,no,66978,yes,no,telephone,23,may,1149,24,372,16,unknown,no
26,unemployed,married,primary,no,-3266,no,yes,cellular,19,may,673,13,199,7,other,yes
18,retired,divorced,primary,no,23926,no,no,cellular,23,jan,1444,36,132,4,other,no
25,services,divorced,secondary,no,-1536,yes,no,unknown,13,nov,2732,23,246,6,unknown,no
80,technician,single,primary,no,21832,yes,no,telephone,17,oct,420,17,127,3,success,no
28,unemployed,married,tertiary,no,-4417,yes,no,unknown,20,feb,2406,44,380,14,success,yes
25,entrepreneur,single,primary,no,28562,yes,no,cellular,11,jul,1620,19,107,3,success,no
52,entrepreneur,single,tertiary,no,13646,no,no,unknown,11,oct,277,24,11,16,failure,no
52,services,single,primary,no,67820,no,no,cellular,22,nov,236,21,278,18,success,no
50,technician,single,tertiary,no,22824,no,no,telephone,20,jun,2538,14,361,15,success,no
22,housemaid,divorced,secondary,no,75276,yes,no,telephone,9,dec,1076,36,103,18,failure,yes
58,blue-collar,divorced,secondary,no,9194,yes,no,telephone,2,jun,1782,25,380,10,unknown,yes
45,unknown,divorced,primary,no,48868,no,no,telephone,24,jun,466,34,203,16,unknown,no
24,services,married,tertiary,no,71418,no,no,telephone,18,oct,2027,36,257,14,failure,no
90,retired,single,primary,no,36292,no,yes,unknown,9,oct,2792,22,322,15,other,no
89,admin.,divorced,unknown,no,39542,no,no,cellular,17,sep,447,9,241,1,failure,no
29,technician,divorced,unknown,no,12913,yes,no,cellular,30,aug,2903,45,183,4,unknown,no
51,housemaid,divorced,primary,no,27101,no,yes,unknown,29,oct,1925,45,141,14,unknown,no
50,unknown,divorced,unknown,no,41385,no,no,unknown,21,feb,752,47,96,2,success,no
65,self-employed,divorced,primary,no,65536,yes,no,cellular,6,aug,458,7,299,5,failure,no
40,unknown,married,tertiary,no,59850,no,no,telephone,10,jul,2232,44,247,8,unknown,no
79,services,married,tertiary,no,31556,yes,no,unknown,4,apr,1517,20,241,2,success,yes
54,entrepreneur,married,primary,no,6620,no,no,cellular,9,may,1738,42,22,7,unknown,no
61,unknown,single,secondary,no,53347,yes,no,telephone,11,jan,405,30,47,19,other,no
52,entrepreneur,married,secondary,no,32930,yes,no,telephone,2,jun,2236,30,324,17,other,no
82,retired,married,unknown,no,69751,yes,no,cellular,29,mar,903,46,284,0,other,no
64,entrepreneur,single,secondary,no,22722,yes,no,cellular,1,feb,1622,44,226,4,failure,no
20,technician,married,tertiary,no,8018,no,no,unknown,14,jul,1168,40,11,14,unknown,no
18,technician,married,unknown,no,75624,yes,no,cellular,8,jul,2926,15,385,11,unknown,yes
22,student,married,tertiary,no,7102,yes,yes,unknown,3,sep,1052,35,308,8,failure,no
31,management,divorced,primary,no,46388,yes,no,cellular,3,jun,2661,30,36,5,failure,no
44,entrepreneur,divorced,tertiary,no,59205,no,no,telephone,13,apr,886,39,38,3,unknown,no
26,technician,single,primary,no,60910,no,no,unknown,1,nov,876,10,280,13,unknown,no
32,management,single,secondary,no,60189,no,no,cellular,8,apr,508,11,216,2,success,no
59,entrepreneur,single,primary,no,77745,yes,no,telephone,18,jan,1931,5,61,14,other,no
94,services,single,tertiary,no,8924,yes,no,telephone,9,feb,2783,40,73,10,failure,no
68,entrepreneur,single,secondary,no,60804,no,no,cellular,10,jun,2384,44,273,10,failure,no
80,student,divorced,unknown,no,26910,yes,no,cellular,23,may,2598,40,146,3,failure,no
69,technician,divorced,tertiary,no,49985,no,no,unknown,9,nov,205,32,335,4,success,no
21,admin.,married,secondary,no,-4,yes,yes,cellular,14,mar,1368,2,29,9,failure,no
40,blue-collar,married,unknown,no,-717,no,no,cellular,10,oct,1029,39,38,17,unknown,no
32,entrepreneur,divorced,unknown,no,55962,yes,no,telephone,30,oct,243,49,216,11,success,no
60,housemaid,divorced,tertiary,no,64837,no,no,telephone,2,mar,159,14,110,17,other,no
46,unknown,married,unknown,no,73658,yes,yes,unknown,8,apr,2533,14,100,15,success,no
53,entrepreneur,married,unknown,yes,63953,yes,no,cellular,21,nov,2364,30,126,1,other,no
30,technician,single,tertiary,no,15037,yes,no,telephone,2,aug,1779,29,58,16,unknown,no
49,admin.,married,secondary,no,76913,no,yes,cellular,21,nov,72,29,13,7,success,no
88,unemployed,divorced,secondary,no,40615,no,yes,cellular,9,sep,1758,31,173,10,other,no
76,unemployed,single,secondary,no,-479,no,no,unknown,6,jun,1673,22,256,17,unknown,no
45,student,single,unknown,no,18599,yes,no,cellular,12,jul,2888,18,357,4,failure,no
83,services,single,primary,no,10683,no,no,unknown,23,feb,1834,4,113,5,other,no
59,blue-collar,single,primary,no,28864,yes,no,unknown,19,jul,662,40,119,4,failure,no
62,unemployed,divorced,tertiary,no,24192,no,no,telephone,29,apr,381,16,73,9,failure,no
79,housemaid,divorced,tertiary,no,58181,no,no,telephone,15,mar,2325,33,248,10,success,no
74,admin.,married,secondary,no,71821,no,no,cellular,16,jun,721,36,308,8,failure,yes
23,services,married,unknown,no,35888,yes,no,cellular,2,dec,870,48,397,2,failure,no
45,retired,divorced,tertiary,no,74206,yes,no,telephone,16,apr,913,23,374,10,failure,no
45,services,divorced,secondary,no,723,yes,no,cellular,27,jun,1891,38,133,3,success,no
61,entrepreneur,married,unknown,no,17846,no,no,cellular,24,dec,2261,21,211,7,failure,no
47,unknown,divorced,secondary,no,21959,yes,no,unknown,19,dec,2549,23,320,2,unknown,yes
79,blue-collar,divorced,tertiary,no,74072,no,no,cellular,30,mar,1917,43,280,15,success,no
92,technician,single,secondary,no,60002,yes,no,telephone,7,oct,2692,14,36,6,failure,yes
79,admin.,divorced,tertiary,no,37427,yes,no,cellular,9,aug,1460,34,338,9,other,no
18,unknown,single,unknown,no,2534,yes,no,unknown,24,oct,2336,30,272,12,failure,no
44,retired,divorced,unknown,no,2297,no,no,cellular,29,dec,288,20,215,18,success,yes
79,self-employed,married,unknown,no,29746,yes,no,cellular,5,mar,2813,28,361,14,other,no
94,housemaid,divorced,secondary,no,55575,no,no,telephone,29,mar,2852,29,278,8,failure,no
20,unknown,divorced,unknown,no,59581,no,no,telephone,23,aug,669,26,42,6,success,no
87,housemaid,married,primary,no,32789,no,no,cellular,11,sep,2251,23,22,10,other,no
89,admin.,married,secondary,no,11401,yes,no,cellular,13,mar,1825,35,37,16,failure,no
44,services,married,tertiary,no,10033,yes,yes,cellular,2,aug,1695,21,282,4,failure,no
26,blue-collar,divorced,primary,no,2726,yes,yes,unknown,10,apr,798,48,140,15,success,no
79,retired,married,tertiary,no,4842,yes,yes,cellular,16,dec,15,9,119,3,unknown,no
54,management,divorced,secondary,no,56573,yes,no,unknown,20,mar,2853,46,119,14,unknown,no
68,technician,married,secondary,no,29746,no,yes,cellular,28,aug,1289,44,337,16,other,no
61,student,divorced,tertiary,no,44243,yes,no,cellular,11,jan,206,32,74,0,other,no
41,student,married,tertiary,no,53991,yes,yes,unknown,15,oct,2524,24,86,4,other,no
76,student,married,primary,no,48792,yes,yes,cellular,15,apr,1506,8,154,13,other,no
49,management,single,primary,no,11761,no,no,unknown,23,jul,1624,17,374,5,unknown,no
69,retired,divorced,primary,no,17565,no,no,unknown,25,jan,2577,22,227,18,failure,no
79,student,married,tertiary,no,6729,no,yes,cellular,16,aug,1731,37,94,16,unknown,yes
75,technician,divorced,tertiary,no,-1580,no,no,cellular,24,nov,354,8,3,8,other,no
69,unknown,married,tertiary,no,20076,yes,no,unknown,23,dec,926,47,178,3,success,no
29,admin.,divorced,tertiary,no,4257,no,no,telephone,20,dec,584,2,367,13,unknown,no
56,unemployed,divorced,tertiary,yes,56931,no,no,unknown,30,jan,930,4,350,16,failure,yes
19,unemployed,divorced,secondary,no,30046,yes,no,telephone,18,nov,2033,15,160,16,unknown,no
20,entrepreneur,single,secondary,no,9745,no,no,unknown,11,oct,48,36,67,17,failure,no
73,unknown,divorced,secondary,no,39910,yes,no,unknown,14,oct,664,13,274,9,success,no
76,blue-collar,married,primary,no,40570,no,yes,telephone,22,jun,1852,32,255,7,failure,no
19,admin.,single,unknown,no,77933,no,no,telephone,17,jun,336,8,46,16,success,no
19,entrepreneur,divorced,unknown,no,49866,yes,no,telephone,23,jun,1407,13,380,6,failure,no
71,technician,married,secondary,no,36888,no,no,cellular,15,jul,948,17,347,0,success,no
18,student,divorced,tertiary,no,41150,yes,yes,telephone,15,nov,609,40,364,3,success,yes
36,services,single,secondary,no,-1928,yes,yes,telephone,15,jan,1539,43,306,0,failure,no
19,entrepreneur,married,tertiary,no,67537,no,no,cellular,4,aug,2320,24,226,0,failure,no
70,management,married,secondary,no,46510,no,no,unknown,21,dec,653,49,188,4,unknown,no
61,retired,married,primary,no,53863,no,no,unknown,5,jan,2012,45,364,3,other,no
49,housemaid,single,unknown,no,61208,no,no,unknown,20,aug,679,10,84,12,failure,no
87,self-employed,married,unknown,no,74989,yes,no,unknown,29,mar,782,45,398,2,unknown,no
49,unemployed,divorced,tertiary,no,55174,yes,no,unknown,30,may,1069,13,151,3,other,no
85,unknown,divorced,tertiary,no,58993,no,no,telephone,8,aug,2411,30,93,11,other,yes
72,student,married,secondary,no,24358,no,no,unknown,18,jan,2800,48,66,3,unknown,no
92,unemployed,single,secondary,no,8642,yes,no,telephone,26,jan,1374,46,62,5,failure,no
73,admin.,married,primary,no,1810,yes,yes,telephone,9,apr,1481,21,240,17,unknown,yes
34,admin.,married,unknown,no,40268,yes,yes,cellular,18,may,1121,14,160,14,success,no
55,entrepreneur,married,tertiary,no,52343,no,no,telephone,24,sep,2858,20,225,2,other,no
41,unknown,divorced,secondary,no,62135,no,no,unknown,11,dec,1436,27,134,1,success,no
86,admin.,divorced,secondary,no,66462,no,no,telephone,25,feb,1152,20,61,12,failure,no
87,unknown,single,tertiary,no,58384,no,no,telephone,3,may,52,28,322,8,unknown,no
28,technician,single,primary,no,28303,no,no,unknown,28,sep,2498,49,336,4,other,yes
33,management,single,tertiary,no,51059,yes,no,cellular,9,dec,610,2,138,4,failure,no
90,housemaid,divorced,tertiary,no,3233,no,yes,cellular,14,mar,2314,45,39,12,success,no
76,unemployed,divorced,primary,no,38394,yes,no,unknown,10,feb,1893,35,147,7,other,no
87,student,divorced,tertiary,no,50550,yes,no,cellular,7,aug,2771,11,249,6,unknown,no
20,unemployed,divorced,tertiary,no,44636,yes,no,telephone,17,sep,1509,45,77,0,failure,no
37,student,single,secondary,no,-2767,yes,no,cellular,25,jul,2156,17,348,11,other,no
76,unknown,divorced,primary,no,14244,no,no,cellular,16,aug,622,40,82,11,other,yes
53,unemployed,single,unknown,no,24616,no,no,telephone,13,sep,2294,1,91,3,failure,no
36,retired,divorced,primary,no,44467,no,no,telephone,16,sep,2925,8,323,13,failure,no
84,admin.,married,primary,no,41236,no,no,unknown,27,jul,1715,11,120,17,success,no
36,retired,single,secondary,no,12576,no,no,cellular,1,oct,2702,36,126,3,other,no
37,entrepreneur,single,unknown,no,10879,no,yes,unknown,30,may,2107,37,362,0,unknown,no
88,student,divorced,primary,no,49172,no,no,cellular,29,may,441,17,124,11,other,no
69,student,single,tertiary,no,64586,no,no,unknown,29,jul,1898,44,236,3,unknown,no
50,unemployed,married,tertiary,no,38449,yes,no,unknown,15,feb,195,17,116,18,failure,no
57,unemployed,single,tertiary,no,-3835,no,yes,telephone,23,dec,2908,35,380,12,unknown,no
56,technician,single,unknown,no,51822,no,yes,cellular,17,dec,478,18,156,15,success,no
18,admin.,married,primary,no,-2196,yes,no,unknown,8,sep,194,21,77,15,success,no
28,management,divorced,primary,no,66982,yes,no,unknown,14,dec,2608,29,347,13,other,no
74,entrepreneur,divorced,primary,no,22191,no,no,unknown,22,may,2261,31,42,10,other,no
67,admin.,married,unknown,no,7790,no,yes,cellular,16,aug,473,36,117,0,success,no
40,technician,single,secondary,no,47583,no,yes,telephone,11,feb,550,24,185,7,unknown,no
48,unemployed,divorced,secondary,no,6229,yes,no,cellular,9,apr,2705,37,358,11,failure,no
59,retired,divorced,unknown,no,65798,no,yes,unknown,17,jul,594,46,317,19,failure,no
24,blue-collar,divorced,tertiary,no,57877,no,no,unknown,12,jun,777,26,131,14,unknown,no
33,student,married,tertiary,no,48800,yes,yes,cellular,19,may,771,35,185,6,unknown,no
77,entrepreneur,married,primary,no,73949,yes,yes,unknown,10,feb,2653,44,387,11,failure,no
19,student,single,primary,no,59834,no,no,telephone,21,aug,2284,11,209,7,success,yes
18,housemaid,married,primary,no,8077,yes,no,unknown,13,nov,1820,43,226,7,other,no
65,entrepreneur,married,secondary,no,61777,no,no,cellular,19,aug,2724,15,246,11,success,no
29,student,married,tertiary,no,52042,no,no,cellular,3,may,1385,45,102,14,other,no
86,admin.,divorced,tertiary,no,72737,no,no,cellular,18,dec,1814,49,196,5,unknown,no
54,self-employed,married,secondary,no,24533,no,no,cellular,14,jun,2699,7,16,16,success,no
49,management,married,unknown,no,330,yes,no,unknown,17,feb,1260,13,173,0,failure,no
26,retired,divorced,primary,no,73291,no,no,unknown,1,jan,838,22,31,8,other,no
36,housemaid,married,unknown,no,68556,yes,no,telephone,27,jun,2013,12,344,11,unknown,no
65,blue-collar,married,unknown,no,53040,no,no,unknown,17,jan,484,10,132,15,success,no
20,blue-collar,divorced,primary,no,43861,no,no,cellular,5,feb,696,30,254,2,other,no
37,services,single,unknown,no,22682,yes,no,cellular,18,oct,1714,20,36,4,success,no
41,student,married,unknown,yes,35286,yes,no,telephone,9,jun,618,25,264,17,failure,no
71,technician,single,primary,no,-108,no,no,unknown,28,sep,689,38,43,8,failure,no
50,technician,single,unknown,no,22418,yes,yes,telephone,26,jul,2362,7,242,15,unknown,no
41,unemployed,single,tertiary,no,62001,yes,no,unknown,13,feb,1641,25,182,14,unknown,no
92,retired,divorced,tertiary,no,45421,no,no,unknown,30,sep,326,35,101,18,other,no
89,student,single,unknown,no,24304,yes,no,telephone,18,aug,869,25,127,13,unknown,no
53,unknown,divorced,unknown,no,65116,yes,no,telephone,6,feb,1275,4,333,11,failure,yes
55,admin.,married,primary,no,28346,yes,no,telephone,8,oct,1352,16,275,2,failure,no
42,student,single,unknown,no,70010,no,no,telephone,25,nov,1833,6,50,14,other,no
35,retired,single,unknown,no,17793,no,no,unknown,16,jan,105,21,334,12,failure,no
83,self-employed,single,secondary,no,54747,no,no,cellular,3,nov,937,7,109,10,failure,no
71,admin.,married,primary,no,37340,yes,no,cellular,19,may,1633,27,131,8,failure,no
52,housemaid,married,unknown,no,3188,yes,no,telephone,4,sep,967,17,11,17,success,no
78,entrepreneur,divorced,secondary,no,15119,no,no,telephone,15,apr,1704,49,360,19,success,no
58,management,divorced,tertiary,no,10932,no,yes,telephone,17,oct,400,46,274,7,other,no
50,self-employed,divorced,tertiary,no,13970,yes,no,unknown,6,nov,1051,1,26,3,unknown,no
85,admin.,divorced,tertiary,no,13763,yes,no,telephone,16,oct,218,21,367,18,other,no
50,self-employed,divorced,tertiary,no,59118,yes,no,unknown,21,apr,1623,42,245,2,failure,no
31,entrepreneur,divorced,primary,no,30597,yes,yes,telephone,15,aug,264,44,183,17,success,no
38,retired,married,tertiary,no,21059,yes,yes,cellular,2,mar,1716,13,350,10,unknown,no
65,admin.,single,unknown,no,33372,yes,no,unknown,25,sep,1293,43,161,17,failure,no
37,technician,single,secondary,no,18284,yes,no,cellular,5,jul,2966,43,345,11,success,no
25,retired,single,unknown,no,26056,no,no,unknown,11,feb,2200,43,141,0,success,yes
24,housemaid,married,primary,no,62795,no,yes,cellular,8,jun,808,34,366,10,failure,no
84,unknown,married,primary,no,12490,yes,no,telephone,11,oct,1935,14,130,4,success,yes
34,entrepreneur,divorced,primary,no,32698,no,yes,unknown,8,feb,2620,41,278,18,unknown,no
50,self-employed,divorced,primary,no,25063,yes,no,telephone,18,jun,2819,15,152,14,other,no
65,unknown,single,secondary,no,65585,no,no,telephone,21,sep,1982,31,388,13,failure,no
93,entrepreneur,single,tertiary,no,19366,no,no,unknown,22,mar,566,29,197,2,unknown,no
76,housemaid,married,secondary,no,76158,no,no,telephone,24,jun,1755,3,276,18,failure,no
39,technician,married,unknown,no,31788,no,no,telephone,6,mar,1952,6,306,6,other,no
47,unemployed,single,primary,no,49523,no,no,cellular,25,aug,532,10,7,14,failure,no
55,unknown,married,secondary,no,50364,no,no,telephone,7,jul,2344,5,152,5,success,no
68,retired,single,unknown,no,33931,no,no,cellular,6,nov,211,23,239,5,other,no
71,services,single,secondary,no,72314,yes,yes,unknown,25,sep,2048,45,139,14,unknown,no
25,unknown,single,primary,no,79166,yes,no,unknown,24,mar,572,22,348,16,other,no
44,entrepreneur,single,secondary,no,62712,yes,no,cellular,14,jul,1006,43,181,2,failure,no
44,technician,single,primary,no,-2092,no,no,telephone,30,jan,572,38,220,9,other,yes
38,management,single,tertiary,no,21960,no,no,cellular,19,aug,2702,27,322,12,success,no
47,student,single,tertiary,no,23323,yes,yes,cellular,17,jan,997,48,53,11,unknown,no
45,retired,divorced,primary,no,26222,no,no,unknown,14,oct,2897,16,93,6,success,yes
81,retired,married,secondary,no,40302,yes,no,unknown,9,aug,2828,5,129,5,other,no
86,management,married,unknown,no,10325,no,no,telephone,2,dec,1186,46,234,7,other,no
78,services,single,secondary,no,-2298,yes,yes,unknown,11,apr,43,22,69,2,success,no
65,services,married,unknown,no,56261,yes,no,unknown,14,feb,2872,6,149,13,unknown,no
36,retired,divorced,primary,no,73819,no,no,unknown,6,jan,159,11,303,11,failure,no
21,student,married,unknown,no,57025,yes,yes,telephone,30,jun,2117,42,258,7,other,no
52,unknown,divorced,primary,no,14363,yes,no,cellular,6,jul,2942,37,294,12,failure,no
81,blue-collar,divorced,unknown,no,43873,yes,no,cellular,20,feb,878,16,177,10,success,no
66,admin.,single,primary,no,66889,yes,no,telephone,10,sep,2706,46,11,0,failure,no
34,self-employed,married,unknown,no,50162,no,no,telephone,30,jun,2571,14,153,3,failure,yes
61,management,married,unknown,no,-4727,yes,no,unknown,23,mar,936,28,50,4,other,no
47,unknown,divorced,unknown,no,40612,no,no,telephone,2,feb,436,16,38,2,success,yes
63,unknown,single,tertiary,no,7243,yes,no,cellular,12,aug,2961,39,151,0,failure,no
23,blue-collar,single,primary,no,77883,yes,no,unknown,20,apr,350,23,116,12,other,no
54,technician,divorced,secondary,no,32975,yes,no,unknown,24,dec,2197,23,198,3,failure,no
41,unknown,married,primary,no,57453,no,no,unknown,28,feb,2036,7,312,6,unknown,no
63,retired,single,unknown,no,59894,no,no,cellular,11,apr,1024,22,357,18,other,no
70,self-employed,divorced,primary,no,4931,yes,no,unknown,1,dec,2884,44,302,14,unknown,no
77,housemaid,single,secondary,no,41902,yes,no,unknown,24,oct,2940,26,177,18,unknown,no
80,services,divorced,secondary,no,-1358,yes,yes,telephone,26,aug,260,2,217,18,success,no
49,services,single,unknown,no,4250,yes,no,unknown,28,dec,551,41,344,10,success,no
50,housemaid,single,secondary,no,75011,yes,no,telephone,6,jun,1532,49,123,2,success,no
84,services,single,unknown,no,14127,yes,no,cellular,14,jul,412,37,229,11,unknown,no
35,management,single,primary,no,77571,no,no,unknown,9,apr,265,5,13,0,failure,no
42,student,divorced,tertiary,no,55973,no,no,cellular,23,dec,233,33,340,14,other,no
71,housemaid,single,primary,no,26885,yes,no,telephone,28,apr,1927,48,233,18,failure,no
75,management,married,tertiary,no,25863,yes,no,telephone,30,may,2711,7,93,19,unknown,no
84,retired,married,unknown,no,17900,yes,no,telephone,8,nov,1612,38,390,8,other,no
63,technician,married,secondary,no,65886,yes,no,unknown,14,sep,1090,48,118,11,unknown,no
41,entrepreneur,single,primary,no,18607,yes,yes,cellular,17,oct,874,25,159,1,success,no
49,housemaid,married,secondary,no,6889,yes,no,unknown,20,sep,2808,34,284,1,failure,no
64,unknown,single,secondary,no,63174,yes,no,cellular,6,may,58,26,169,19,unknown,no
40,management,single,primary,no,8481,no,no,cellular,28,jun,629,8,257,6,success,no
83,services,divorced,secondary,no,33749,yes,no,unknown,27,dec,1178,22,355,9,failure,no
44,management,married,primary,no,73544,no,no,unknown,29,feb,201,32,346,11,unknown,no
19,unemployed,divorced,secondary,no,17809,no,no,cellular,3,nov,797,15,315,10,failure,no
34,admin.,single,unknown,no,17807,yes,no,unknown,10,oct,2912,22,178,3,other,no
50,self-employed,single,unknown,no,8174,no,no,unknown,17,sep,723,39,104,1,unknown,no
